,date,location
0,2006-06-10,"上海站
   上海虹口足球场[78]"
1,2006-06-24,"新加坡站
   新加坡室内体育馆[79]"
2,2006-07-01,"马来西亚站
   云顶云星剧场[80]"
3,2006-09-16,"武汉站
   武汉新华路体育场[81]"
4,2006-09-30,"天津站
   天津泰达足球场[82]"
5,2006-11-12,"台北站
   台北小巨蛋[83]"
6,2007-10-14,"上海站
   上海虹口足球场[84]"
7,2008-08-17,"印度尼西亚
   Mikie Holiday Star Theater"
8,2008-12-25,"拉斯维加斯
   Caesars Palace The Colosseum"
9,2009-03-26,"台北
   华山艺文中心Legacy"
10,2009-03-15,"香港
   湾仔会展中心"
11,2009-03-28,"新加坡站
   新加坡室内体育馆[85]"
12,2009-06-20,"北京站
   首都体育馆[86]"
13,2010-04-24,"墨尔本
   Melbourne Convention Centre"
14,2010-05-26,"华盛顿
   GW Lisner大礼堂"
15,2010-05-27,"旧金山
   艺术宫大剧院"
16,2010-05-29,"洛杉矶
   诺基亚俱乐部"
17,2010-08-21,"北京站
   首都体育馆[87]"
18,2010-08-28,"上海站
   上海大舞台[88]"
19,2010-09-17,"成都站
   四川省体育馆[89]"
20,2010-09-25,"广州站
   广州体育馆[90]"
21,2010-10-15,"长沙站
   长沙贺龙体育场[91]"
22,2010-11-06,"武汉站
   武汉新华路体育场[92]"
23,2010-11-13,"南京站
   五台山体育馆[93]"
24,2010-12-12,"昆明站
   昆明体育馆[94]"
25,2011-03-05,"新加坡站
   新加坡室内体育馆"
26,2011-04-01,"台北站（加场）
   台北小巨蛋[95]"
27,2011-04-02,"台北站
   台北小巨蛋[96]"
28,2010-12-25,"纽约
   大西洋城凯撒皇宫歌剧院"
29,2011-05-06,"温哥华
   温哥华大剧院"
30,2012-02-27,"台北
   新北市政府前广场"
31,2013-07-13,"台北站
   台北小巨蛋[97]"
32,2013-07-14,"台北站
   台北小巨蛋[98]"
33,2013-07-27,"深圳站
   深圳湾体育馆[99]"
34,2013-09-14,"广州站
   广州体育馆[100]"
35,2013-09-28,"北京站
   首都体育馆[101]"
36,2013-10-12,"上海站
   梅赛德斯奔驰文化中心[102]"
37,2013-10-26,"香港站
   红磡体育馆[103]"
38,2013-11-09,"新加坡站
   新加坡室内体育馆"
39,2013-11-16,"江苏常州站
   中天钢铁体育馆[104]"
40,2013-11-24,"大西洋城站
   The Borgata Casino[105]"
41,2013-11-28,"拉斯维加斯站
   Caesars Palace The Colosseum"
